key,url,open
revolt_renegade_the_dissident,https://infinityrising.com/store/revolt-renegade-bundle,true
revolt_underground_shoes,https://infinityrising.com/store/revolt-underground-bundle,true
revolt_renegade_shoes,https://infinityrising.com/store/revolt-renegade-bundle,true
revolt_renegade_outfit,https://infinityrising.com/store/revolt-renegade-bundle,true
revolt_underground_ras_9,https://infinityrising.com/store/revolt-underground-bundle,true
revolt_underground_hood,https://infinityrising.com/store/revolt-underground-bundle,true
revolt_underground_rigger_s_revolt,https://infinityrising.com/store/revolt-underground-bundle,true
revolt_renegade_rebel_s_rucksack,https://infinityrising.com/store/revolt-renegade-bundle,true
rando_s_metalwork_clanker_ai_drone_companion,https://infinityrising.com/store/ai-drone-companions-founder's-bundle,true
revolt_renegade_rebel_s_reach,https://infinityrising.com/store/revolt-renegade-bundle,true
rando_s_metalworks_the_instigator,https://infinityrising.com/store/revolt-underground-bundle,true
bubblejett_aeroracer,https://infinityrising.com/store/founders-bundle,true
bubblejett_jetmaster_1000,https://infinityrising.com/store/founders-bundle,true
bubblejett_stratolifter,https://infinityrising.com/store/founders-bundle,true
copias_land_plot,https://infinityrising.com/store/founders-bundle,true
core_dynamics_af_88c_drongo_1974,https://infinityrising.com/store/operators-bundle,true
core_dynamics_super_scout,https://infinityrising.com/store/founders-bundle,true
infinity_rising_apartment_key,https://infinityrising.com/store/pathfinder-bundle,true
infinity_rising_apartment_key_x_2,https://infinityrising.com/store/operators-bundle,true
infinity_rising_epic_land_plot,https://infinityrising.com/store/operators-bundle,true
kazekura_blade_hoverbike,https://infinityrising.com/store/founders-bundle,true
lee_c_sar_556,https://infinityrising.com/store/operators-bundle,true
men_s_core_dynamics_mopp_01_elite_boots,https://infinityrising.com/store/operators-bundle,true
men_s_core_dynamics_mopp_01_elite_helmet,https://infinityrising.com/store/operators-bundle,true
men_s_core_dynamics_mopp_01_elite_outfit,https://infinityrising.com/store/operators-bundle,true
men_s_core_dynamics_mopp_01_elite,https://infinityrising.com/store/pathfinder-bundle,true
randos_bassrunner_backpack,https://infinityrising.com/store/founders-bundle,true
two_apartment_keys,https://infinityrising.com/store/founders-bundle,true
women_s_core_dynamics_mopp_01_elite_boots,https://infinityrising.com/store/operators-bundle,true
women_s_core_dynamics_mopp_01_elite_helmet,https://infinityrising.com/store/operators-bundle,true
women_s_core_dynamics_mopp_01_elite_outfit,https://infinityrising.com/store/operators-bundle,true
women_s_core_dynamics_mopp_01_elite,https://infinityrising.com/store/pathfinder-bundle,true
rando_s_metalworks_cloud_barge,https://infinityrising.com/store/operators-bundle,true
rando_s_metalworks_h2_loadrunner,https://infinityrising.com/store/operators-bundle,true
rando_s_metalworks_rugged_m_pack,https://infinityrising.com/store/operators-bundle,true
rando_s_metalworks_thrust_commander,https://infinityrising.com/store/operators-bundle,true
bubblejett_prima_1938,https://infinityrising.com/store/founders-bundle,true
core_dynamics_meridian_c7_2026,https://infinityrising.com/store/pathfinder-bundle,true
gti_vesper_1999,https://infinityrising.com/store/pathfinder-bundle,true
core_dynamics_cdx_9_blackline,https://infinityrising.com/store/pathfinder-bundle,true
core_dynamics_spaceworx,https://infinityrising.com/store/pathfinder-bundle,true
gti_canyon_2026,https://infinityrising.com/store/pathfinder-bundle,true
